Attempt 262, 1000 iterations, Validation accuracy = 0.33
Attempt 263, 1000 iterations, Validation accuracy = 0.36
Attempt 264, 1000 iterations, Validation accuracy = 0.44
Attempt 265, 1000 iterations, Validation accuracy = 0.4
Attempt 266, 1000 iterations, Validation accuracy = 0.46
Attempt 267, 1000 iterations, Validation accuracy = 0.41
Attempt 268, 1000 iterations, Validation accuracy = 0.33
Attempt 269, 1000 iterations, Validation accuracy = 0.38
Attempt 270, 1000 iterations, Validation accuracy = 0.39
Attempt 271, 1000 iterations, Validation accuracy = 0.42
Attempt 272, 1000 iterations, Validation accuracy = 0.34
Attempt 273, 1000 iterations, Validation accuracy = 0.41
Attempt 274, 1000 iterations, Validation accuracy = 0.38
Attempt 275, 1000 iterations, Validation accuracy = 0.39
Attempt 276, 1000 iterations, Validation accuracy = 0.44
Attempt 277, 1000 iterations, Validation accuracy = 0.45
Attempt 278, 1000 iterations, Validation accuracy = 0.34
Attempt 279, 1000 iterations, Validation accuracy = 0.49
Attempt 280, 1000 iterations, Validation accuracy = 0.37
Attempt 281, 1000 iterations, Validation accuracy = 0.38
Attempt 282, 1000 iterations, Validation accuracy = 0.44
Attempt 283, 1000 iterations, Validation accuracy = 0.42
Attempt 284, 1000 iterations, Validation accuracy = 0.41
Attempt 285, 1000 iterations, Validation accuracy = 0.43
Attempt 286, 1000 iterations, Validation accuracy = 0.42
Attempt 287, 1000 iterations, Validation accuracy = 0.44
Attempt 288, 1000 iterations, Validation accuracy = 0.39
Attempt 289, 1000 iterations, Validation accuracy = 0.41
Attempt 290, 1000 iterations, Validation accuracy = 0.36
Attempt 291, 1000 iterations, Validation accuracy = 0.41
Attempt 292, 1000 iterations, Validation accuracy = 0.43
Attempt 293, 1000 iterations, Validation accuracy = 0.4
Attempt 294, 1000 iterations, Validation accuracy = 0.34
Attempt 295, 1000 iterations, Validation accuracy = 0.46
Attempt 296, 1000 iterations, Validation accuracy = 0.39
Attempt 297, 1000 iterations, Validation accuracy = 0.45
Attempt 298, 1000 iterations, Validation accuracy = 0.45
Attempt 299, 1000 iterations, Validation accuracy = 0.43
Attempt 300, 1000 iterations, Validation accuracy = 0.45
Attempt 301, 1000 iterations, Validation accuracy = 0.41
Attempt 302, 1000 iterations, Validation accuracy = 0.4
Attempt 303, 1000 iterations, Validation accuracy = 0.41
Attempt 304, 1000 iterations, Validation accuracy = 0.36
Attempt 305, 1000 iterations, Validation accuracy = 0.29
Attempt 306, 1000 iterations, Validation accuracy = 0.43
Attempt 307, 1000 iterations, Validation accuracy = 0.31
Attempt 308, 1000 iterations, Validation accuracy = 0.35
Attempt 309, 1000 iterations, Validation accuracy = 0.37
Attempt 310, 1000 iterations, Validation accuracy = 0.42
Attempt 311, 1000 iterations, Validation accuracy = 0.41
Attempt 312, 1000 iterations, Validation accuracy = 0.37
Attempt 313, 1000 iterations, Validation accuracy = 0.37
Attempt 314, 1000 iterations, Validation accuracy = 0.36
Attempt 315, 1000 iterations, Validation accuracy = 0.35
Attempt 316, 1000 iterations, Validation accuracy = 0.3
Attempt 317, 1000 iterations, Validation accuracy = 0.46
Attempt 318, 1000 iterations, Validation accuracy = 0.42
Attempt 319, 1000 iterations, Validation accuracy = 0.42
Attempt 320, 1000 iterations, Validation accuracy = 0.39
Attempt 321, 1000 iterations, Validation accuracy = 0.33
Attempt 322, 1000 iterations, Validation accuracy = 0.37
Attempt 323, 1000 iterations, Validation accuracy = 0.37
Attempt 324, 1000 iterations, Validation accuracy = 0.36
Attempt 325, 1000 iterations, Validation accuracy = 0.44
Attempt 326, 1000 iterations, Validation accuracy = 0.45
Attempt 327, 1000 iterations, Validation accuracy = 0.43
Attempt 328, 1000 iterations, Validation accuracy = 0.41
Attempt 329, 1000 iterations, Validation accuracy = 0.46
Attempt 330, 1000 iterations, Validation accuracy = 0.33
Attempt 331, 1000 iterations, Validation accuracy = 0.38
Attempt 332, 1000 iterations, Validation accuracy = 0.44
Attempt 333, 1000 iterations, Validation accuracy = 0.41
Attempt 334, 1000 iterations, Validation accuracy = 0.33
Attempt 335, 1000 iterations, Validation accuracy = 0.43
Attempt 336, 1000 iterations, Validation accuracy = 0.4
Attempt 337, 1000 iterations, Validation accuracy = 0.45
Attempt 338, 1000 iterations, Validation accuracy = 0.35
Attempt 339, 1000 iterations, Validation accuracy = 0.38
Attempt 340, 1000 iterations, Validation accuracy = 0.46
Attempt 341, 1000 iterations, Validation accuracy = 0.41
Attempt 342, 1000 iterations, Validation accuracy = 0.32
Attempt 343, 1000 iterations, Validation accuracy = 0.37
Attempt 344, 1000 iterations, Validation accuracy = 0.45
Attempt 345, 1000 iterations, Validation accuracy = 0.45
Attempt 346, 1000 iterations, Validation accuracy = 0.43
Attempt 347, 1000 iterations, Validation accuracy = 0.38
Attempt 348, 1000 iterations, Validation accuracy = 0.32
Attempt 349, 1000 iterations, Validation accuracy = 0.4
Attempt 350, 1000 iterations, Validation accuracy = 0.46
Attempt 351, 1000 iterations, Validation accuracy = 0.46
Attempt 352, 1000 iterations, Validation accuracy = 0.41
Attempt 353, 1000 iterations, Validation accuracy = 0.41
Attempt 354, 1000 iterations, Validation accuracy = 0.36
Attempt 355, 1000 iterations, Validation accuracy = 0.4
Attempt 356, 1000 iterations, Validation accuracy = 0.45
Attempt 357, 1000 iterations, Validation accuracy = 0.48
Attempt 358, 1000 iterations, Validation accuracy = 0.39
Attempt 359, 1000 iterations, Validation accuracy = 0.46
Attempt 360, 1000 iterations, Validation accuracy = 0.42
Attempt 361, 1000 iterations, Validation accuracy = 0.41
Attempt 362, 1000 iterations, Validation accuracy = 0.47
Attempt 363, 1000 iterations, Validation accuracy = 0.43
Attempt 364, 1000 iterations, Validation accuracy = 0.29
Attempt 365, 1000 iterations, Validation accuracy = 0.4
Attempt 366, 1000 iterations, Validation accuracy = 0.4
Attempt 367, 1000 iterations, Validation accuracy = 0.45
Attempt 368, 1000 iterations, Validation accuracy = 0.42
Attempt 369, 1000 iterations, Validation accuracy = 0.41
Attempt 370, 1000 iterations, Validation accuracy = 0.41
Attempt 371, 1000 iterations, Validation accuracy = 0.39
Attempt 372, 1000 iterations, Validation accuracy = 0.42
Attempt 373, 1000 iterations, Validation accuracy = 0.43
Attempt 374, 1000 iterations, Validation accuracy = 0.4
Attempt 375, 1000 iterations, Validation accuracy = 0.39
Attempt 376, 1000 iterations, Validation accuracy = 0.43
Attempt 377, 1000 iterations, Validation accuracy = 0.43
Attempt 378, 1000 iterations, Validation accuracy = 0.33
Attempt 379, 1000 iterations, Validation accuracy = 0.4
Attempt 380, 1000 iterations, Validation accuracy = 0.34
Attempt 381, 1000 iterations, Validation accuracy = 0.36
Attempt 382, 1000 iterations, Validation accuracy = 0.41
Attempt 383, 1000 iterations, Validation accuracy = 0.4
Attempt 384, 1000 iterations, Validation accuracy = 0.44
Attempt 385, 1000 iterations, Validation accuracy = 0.42
Attempt 386, 1000 iterations, Validation accuracy = 0.4
Attempt 387, 1000 iterations, Validation accuracy = 0.44
Attempt 388, 1000 iterations, Validation accuracy = 0.35
Attempt 389, 1000 iterations, Validation accuracy = 0.41
Attempt 390, 1000 iterations, Validation accuracy = 0.36
Attempt 391, 1000 iterations, Validation accuracy = 0.32
Attempt 392, 1000 iterations, Validation accuracy = 0.41
Attempt 393, 1000 iterations, Validation accuracy = 0.42
Attempt 394, 1000 iterations, Validation accuracy = 0.44
Attempt 395, 1000 iterations, Validation accuracy = 0.4
Attempt 396, 1000 iterations, Validation accuracy = 0.43
Attempt 397, 1000 iterations, Validation accuracy = 0.38
Attempt 398, 1000 iterations, Validation accuracy = 0.42
Attempt 399, 1000 iterations, Validation accuracy = 0.2
Attempt 400, 1000 iterations, Validation accuracy = 0.44
Attempt 401, 1000 iterations, Validation accuracy = 0.38
Attempt 402, 1000 iterations, Validation accuracy = 0.46
Attempt 403, 1000 iterations, Validation accuracy = 0.36
Attempt 404, 1000 iterations, Validation accuracy = 0.43
Attempt 405, 1000 iterations, Validation accuracy = 0.42
Attempt 406, 1000 iterations, Validation accuracy = 0.42
Attempt 407, 1000 iterations, Validation accuracy = 0.38
Attempt 408, 1000 iterations, Validation accuracy = 0.42
Attempt 409, 1000 iterations, Validation accuracy = 0.41
Attempt 410, 1000 iterations, Validation accuracy = 0.42
Attempt 411, 1000 iterations, Validation accuracy = 0.43
Attempt 412, 1000 iterations, Validation accuracy = 0.43
Attempt 413, 1000 iterations, Validation accuracy = 0.45
Attempt 414, 1000 iterations, Validation accuracy = 0.42
Attempt 415, 1000 iterations, Validation accuracy = 0.43
Attempt 416, 1000 iterations, Validation accuracy = 0.43
Attempt 417, 1000 iterations, Validation accuracy = 0.38
Attempt 418, 1000 iterations, Validation accuracy = 0.36
Attempt 419, 1000 iterations, Validation accuracy = 0.48
Attempt 420, 1000 iterations, Validation accuracy = 0.46
Attempt 421, 1000 iterations, Validation accuracy = 0.37
Attempt 422, 1000 iterations, Validation accuracy = 0.36
Attempt 423, 1000 iterations, Validation accuracy = 0.36
Attempt 424, 1000 iterations, Validation accuracy = 0.42
Attempt 425, 1000 iterations, Validation accuracy = 0.47
Attempt 426, 1000 iterations, Validation accuracy = 0.42
Attempt 427, 1000 iterations, Validation accuracy = 0.39
Attempt 428, 1000 iterations, Validation accuracy = 0.33
Attempt 429, 1000 iterations, Validation accuracy = 0.37
Attempt 430, 1000 iterations, Validation accuracy = 0.43
Attempt 431, 1000 iterations, Validation accuracy = 0.37
Attempt 432, 1000 iterations, Validation accuracy = 0.39
Attempt 433, 1000 iterations, Validation accuracy = 0.42
Attempt 434, 1000 iterations, Validation accuracy = 0.42
Attempt 435, 1000 iterations, Validation accuracy = 0.4
Attempt 436, 1000 iterations, Validation accuracy = 0.47
Attempt 437, 1000 iterations, Validation accuracy = 0.47
Attempt 438, 1000 iterations, Validation accuracy = 0.32
Attempt 439, 1000 iterations, Validation accuracy = 0.39
Attempt 440, 1000 iterations, Validation accuracy = 0.47
Attempt 441, 1000 iterations, Validation accuracy = 0.41
Attempt 442, 1000 iterations, Validation accuracy = 0.43
Attempt 443, 1000 iterations, Validation accuracy = 0.39
Attempt 444, 1000 iterations, Validation accuracy = 0.41
Attempt 445, 1000 iterations, Validation accuracy = 0.41
Attempt 446, 1000 iterations, Validation accuracy = 0.45
Attempt 447, 1000 iterations, Validation accuracy = 0.39
Attempt 448, 1000 iterations, Validation accuracy = 0.47
Attempt 449, 1000 iterations, Validation accuracy = 0.42
Attempt 450, 1000 iterations, Validation accuracy = 0.44
Attempt 451, 1000 iterations, Validation accuracy = 0.44
Attempt 452, 1000 iterations, Validation accuracy = 0.42
Attempt 453, 1000 iterations, Validation accuracy = 0.45
Attempt 454, 1000 iterations, Validation accuracy = 0.42
Attempt 455, 1000 iterations, Validation accuracy = 0.45
Attempt 456, 1000 iterations, Validation accuracy = 0.35
Attempt 457, 1000 iterations, Validation accuracy = 0.34
Attempt 458, 1000 iterations, Validation accuracy = 0.4
Attempt 459, 1000 iterations, Validation accuracy = 0.4
Attempt 460, 1000 iterations, Validation accuracy = 0.43
Attempt 461, 1000 iterations, Validation accuracy = 0.41
Attempt 462, 1000 iterations, Validation accuracy = 0.42
Attempt 463, 1000 iterations, Validation accuracy = 0.45
Attempt 464, 1000 iterations, Validation accuracy = 0.47
Attempt 465, 1000 iterations, Validation accuracy = 0.42
Attempt 466, 1000 iterations, Validation accuracy = 0.39
Attempt 467, 1000 iterations, Validation accuracy = 0.4
Attempt 468, 1000 iterations, Validation accuracy = 0.4
Attempt 469, 1000 iterations, Validation accuracy = 0.43
Attempt 470, 1000 iterations, Validation accuracy = 0.5
Attempt 471, 1000 iterations, Validation accuracy = 0.41
Attempt 472, 1000 iterations, Validation accuracy = 0.4
Attempt 473, 1000 iterations, Validation accuracy = 0.4
Attempt 474, 1000 iterations, Validation accuracy = 0.41
Attempt 475, 1000 iterations, Validation accuracy = 0.41
Attempt 476, 1000 iterations, Validation accuracy = 0.41
Attempt 477, 1000 iterations, Validation accuracy = 0.41
Attempt 478, 1000 iterations, Validation accuracy = 0.34
Attempt 479, 1000 iterations, Validation accuracy = 0.42
Attempt 480, 1000 iterations, Validation accuracy = 0.37
Attempt 481, 1000 iterations, Validation accuracy = 0.39
Attempt 482, 1000 iterations, Validation accuracy = 0.44
Attempt 483, 1000 iterations, Validation accuracy = 0.4
Attempt 484, 1000 iterations, Validation accuracy = 0.43
Attempt 485, 1000 iterations, Validation accuracy = 0.41
Attempt 486, 1000 iterations, Validation accuracy = 0.32
Attempt 487, 1000 iterations, Validation accuracy = 0.36
Attempt 488, 1000 iterations, Validation accuracy = 0.41
Attempt 489, 1000 iterations, Validation accuracy = 0.32
Attempt 490, 1000 iterations, Validation accuracy = 0.43
Attempt 491, 1000 iterations, Validation accuracy = 0.35
Attempt 492, 1000 iterations, Validation accuracy = 0.36
Attempt 493, 1000 iterations, Validation accuracy = 0.33
Attempt 494, 1000 iterations, Validation accuracy = 0.43
Attempt 495, 1000 iterations, Validation accuracy = 0.43
Attempt 496, 1000 iterations, Validation accuracy = 0.43
Attempt 497, 1000 iterations, Validation accuracy = 0.45
Attempt 498, 1000 iterations, Validation accuracy = 0.37
